country,club,player,playerShort,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,pos_cat
England,Fulham FC,Aaron Hughes,aaron-hughes,08.11.1979,182,71,Center Back,654,247,179,228,9,19,0,0,Defender
Germany,Werder Bremen,Aaron Hunt,aaron-hunt,04.09.1986,183,73,Attacking Midfielder,336,141,73,122,62,42,0,1,Midfielder
England,Tottenham Hotspur,Aaron Lennon,aaron-lennon,16.04.1987,165,63,Right Midfielder,412,200,97,115,31,11,0,0,Midfielder
England,Arsenal FC,Aaron Ramsey,aaron-ramsey,26.12.1990,178,76,Center Midfielder,260,150,42,68,39,31,0,1,Midfielder
France,Montpellier HSC,Abdelhamid El-Kaoutari,abdelhamid-el-kaoutari,17.03.1990,180,73,Center Back,124,41,40,43,1,8,4,2,Defender
Spain,RCD Mallorca,Abdón Prats,abdon-prats,17.12.1992,181,79,missing,36,14,7,15,9,6,0,0,Missing
France,AS Nancy,Abdou Dampha,abdou-dampha,27.12.1991,184,74,Attacking Midfielder,44,10,13,21,3,9,0,0,Midfielder
France,Girondins Bordeaux,Abdou Traoré,abdou-traore_2,17.01.1988,180,74,Right Midfielder,97,41,23,33,3,11,1,0,Midfielder
France,FC Sochaux,Abdoul Camara,abdoul-camara,20.02.1990,177,70,Left Winger,142,44,38,60,12,3,0,0,Forward
France,Stade Rennes,Abdoulaye Diallo,abdoulaye-diallo_2,30.03.1992,189,80,Goalkeeper,24,8,8,8,0,0,0,0,Defender
France,Stade Rennes,Abdoulaye Diallo,abdoulaye-diallo_3,28.12.1990,182,75,Attacking Midfielder,106,38,26,42,15,8,0,0,Midfielder
France,Girondins Bordeaux,Abdoulaye Keita,abdoulaye-keita_2,19.08.1990,188,83,Goalkeeper,3,0,1,2,0,0,0,0,Defender
France,Stade Rennes,Abdoulaye Sané,abdoulaye-sane,15.10.1992,184,72,Right Winger,20,4,5,11,0,1,0,0,Forward
France,Stade Brest,Abdoulwhaid Sissoko,abdoulwhaid-sissoko,20.03.1990,180,68,Defensive Midfielder,121,34,25,62,3,21,0,2,Midfielder
Germany,SpVgg Greuther Fürth,Abdul Rahman Baba,abdul-rahman-baba,02.07.1994,179,70,Left Fullback,50,17,8,25,0,3,0,1,Defender
England,Manchester City,Abdul Razak,abdul-razak,11.11.1992,180,78,Center Midfielder,36,16,8,12,0,2,0,0,Midfielder
Spain,Deportivo La Coruña,Abel Aguilar,abel-aguilar,06.01.1985,185,78,Defensive Midfielder,246,93,61,92,25,70,3,2,Midfielder
France,Stade Brest,Abel Khaled,abel-khaled,09.11.1992,179,NA,missing,23,7,5,11,0,2,0,1,Missing
Spain,Getafe CF,Abelaziz Barrada,abelaziz-barrada,19.06.1989,185,78,missing,85,28,25,32,14,11,1,1,Missing
England,Arsenal FC,Abou Diaby,abou-diaby,11.05.1986,188,75,Center Midfielder,208,109,51,48,21,24,0,2,Midfielder
France,SC Bastia (CFA),Aboulaye Keita,aboulaye-keita,05.01.1994,175,75,missing,11,1,5,5,0,0,0,0,Missing
Germany,Fortuna Düsseldorf,Adam Bodzek,adam-bodzek,07.09.1985,184,79,Defensive Midfielder,211,88,63,60,9,66,1,0,Midfielder
England,Newcastle United,Adam Campbell,adam-campbell,01.01.1995,168,NA,missing,20,6,5,9,2,1,0,0,Missing
England,Reading FC,Adam Federici,adam-federici,31.01.1985,188,90,Goalkeeper,206,83,54,69,1,4,0,0,Defender
Germany,1. FC Nürnberg,Adam Hloušek,adam-hlousek,20.12.1988,188,76,Left Midfielder,131,46,34,51,13,21,0,0,Midfielder
England,Sunderland AFC,Adam Johnson,adam-johnson,14.07.1987,175,62,Left Midfielder,339,145,68,126,55,21,0,0,Midfielder
